ID	antiguedad	horasextra	sexo	cursos	incapacidad	aptitudes	escolaridad	salario	edad
117	15	160	1	4	7	87.58	2	37200	41
118	18	44	1	5	5	96.2	1	36200	51
119	7	79	2	2	8	89.71	1	32000	34
120	11	187	2	4	0	108.64	1	35200	49
121	5	107	1	0	9	113.15	2	24650	28
122	18	182	1	5	8	104.37	1	36100	46
123	12	48	1	4	3	111.36	1	28150	35
124	2	217	1	2	0	123.07	1	34550	31
125	26	167	1	2	9	99.7	2	45375	67
126	26	33	1	3	2	93.21	0	41600	63
127	11	22	2	1	6	106.27	2	39500	47
128	11	44	2	3	4	102.83	1	37600	44
129	0	81	2	3	7	104.18	1	33900	31
130	7	123	1	0	2	107.48	2	34325	31
131	19	13	1	5	3	119.13	2	38300	40
132	5	189	2	4	0	92.42	0	39500	44
133	26	59	2	0	6	101.15	1	26500	58
134	1	147	2	2	5	93.91	0	26500	28
135	8	50	2	3	8	78.26	0	29000	35
136	3	70	2	1	2	97.98	0	27500	28
137	3	198	1	1	9	100.03	1	25100	25
138	14	193	1	1	3	120.54	1	32000	38
139	11	77	1	0	3	120.93	1	37750	45
140	22	125	2	4	5	125.95	2	44000	56
141	12	160	1	1	5	100.73	1	37750	44
142	17	28	2	0	3	105.08	2	37675	42
143	20	39	2	5	2	123.37	1	43945	62
144	11	154	1	0	1	119.53	3	43800	44
145	14	129	1	1	9	116.61	1	38170	40
146	22	204	2	2	7	119.69	1	40500	49
147	2	90	1	5	6	103.46	1	23325	25
148	14	37	2	4	3	106.38	2	31325	32
149	5	173	2	2	4	110.17	1	34325	35
150	19	6	1	2	4	105.01	1	40500	50
151	22	83	2	1	9	100.02	2	39275	52
152	26	125	1	1	9	135.22	1	43850	58
153	8	169	1	5	4	87.79	2	31625	34
154	16	55	2	4	3	103.14	1	39375	41
155	25	217	2	2	7	112.55	2	47200	66
156	7	19	1	1	1	109.11	1	28150	33
157	23	173	2	0	3	87.58	0	46900	63
158	7	173	2	4	4	92.91	0	29100	28
159	16	105	1	2	5	89.73	1	39400	41
160	2	11	1	1	8	108.57	1	23100	25
161	22	52	2	1	9	113.15	2	41650	46
162	13	103	2	0	5	104.36	1	35850	40
163	19	143	2	1	4	111	1	37375	41
164	7	123	2	4	2	111	1	31575	34
165	4	114	1	1	9	87.71	0	27350	28
166	24	37	1	5	4	99.12	1	47125	64
167	11	100	2	2	7	128.72	1	43675	55
168	8	100	2	2	6	107.85	2	40000	41
169	9	198	2	5	3	107.85	1	31570	44
170	22	198	1	1	9	122.66	0	41750	40
171	25	136	2	0	4	93.35	0	43780	52
172	14	0	2	4	2	115.46	1	43650	38
173	18	17	2	3	8	125.59	1	39750	44
174	8	103	2	0	9	92.37	0	29500	30
175	22	15	1	1	3	99.17	1	41150	44
176	8	107	2	0	3	102.84	1	33000	35
177	13	129	1	5	4	104.18	1	38300	38
178	27	167	2	0	8	107.75	1	46100	69
179	27	118	2	0	8	119.13	2	44000	66
180	3	209	2	5	3	92.42	0	23600	22
181	2	125	2	4	4	101.16	1	24850	29
182	23	22	1	2	5	91.35	1	45000	62
183	9	151	1	1	5	96.82	0	43850	52
184	15	11	2	4	2	96.82	0	40050	47
185	17	39	2	4	1	89.03	1	43800	58
186	5	193	2	0	5	112.67	2	35300	35
187	26	217	2	2	5	121.96	1	46550	68
188	27	189	1	3	7	104.5	2	45800	69
189	12	209	2	2	3	117.48	1	31450	34
190	1	70	2	5	4	96.38	0	20000	20
191	3	52	2	1	6	107.32	1	27300	29
192	0	138	2	0	4	121.36	1	20000	21
193	16	35	2	3	4	94.02	0	34850	47
194	3	9	1	1	3	129.13	1	41800	41
195	5	173	2	2	8	122.14	2	29000	29
196	1	11	2	1	4	93.86	3	30200	30
197	7	129	2	3	6	104.59	1	34450	35
198	2	162	1	3	3	107.85	1	23550	25
199	2	5	2	1	1	101.68	1	22000	26
200	5	74	2	3	6	111	1	33000	34
